Year,Team,Name,Salary,nameFirst,nameLast,cleanFirst,cleanLast,playerID
2016,TB,Jake Odorizzi,520700,Jake,Odorizzi,jake,odorizzi,odorija01
2016,TB,Steve Geltz,519300,Steve,Geltz,steve,geltz,geltzst01
2016,TB,Brad Boxberger,519200,Brad,Boxberger,brad,boxberger,bobebr01
2016,TB,Steven Souza,516100,Steven,Souza,steven,souza,souzast01
2016,TB,Tim Beckham,514500,Tim,Beckham,tim,beckham,beckhti01
2016,TB,Kevin Kiermaier,514400,Kevin,Kiermaier,kevin,kiermaier,kiermke01
2016,TB,Curt Casali,513600,Curt,Casali,curt,casali,casalcu01
2016,TB,Enny Romero,510000,Enny,Romero,enny,romero,romeren01
2011,TEX,Michael Young,16174974,Michael,Young,michael,young,youngmi01
2011,TEX,Adrian Beltre,14000000,Adrian,Beltre,adrian,beltre,beltrad01
2011,TEX,Josh Hamilton,8750000,Josh,Hamilton,josh,hamilton,hamiljo01
2011,TEX,C. J. Wilson,7000000,C. J.,Wilson,cj,wilson,wilsocj01
2011,TEX,Ian Kinsler,6200000,Ian,Kinsler,ian,kinsler,kinslia01
2011,TEX,Mike Napoli,5800000,Mike,Napoli,mike,napoli,napolmi01
2011,TEX,Scott Feldman,4400000,Scott,Feldman,scott,feldman,feldmsc01
2011,TEX,Arthur Rhodes,3900000,Arthur,Rhodes,arthur,rhodes,rhodear01
2011,TEX,Nelson Cruz,3650000,Nelson,Cruz,nelson,cruz,cruzne01
2011,TEX,Darren Oliver,3250000,Darren,Oliver,darren,oliver,oliveda01
2011,TEX,Yorvit Torrealba,3000000,Yorvit,Torrealba,yorvit,torrealba,torreyo01
2011,TEX,Brandon Webb,3000000,Brandon,Webb,brandon,webb,webbbr01
2011,TEX,David Murphy,2400000,David,Murphy,david,murphy,murphda01
2011,TEX,Colby Lewis,2000000,Colby,Lewis,colby,lewis,lewisco01
2011,TEX,Darren O'Day,1251000,Darren,O'Day,darren,oday,odayda01
2011,TEX,Mark Lowe,1200000,Mark,Lowe,mark,lowe,lowema01
2011,TEX,Dave Bush,1000000,Dave,Bush,dave,bush,bushda01
2011,TEX,Andres Blanco,520000,Andres,Blanco,andres,blanco,blancan01
2011,TEX,Julio Borbon,490000,Julio,Borbon,julio,borbon,borboju01
2011,TEX,Neftali Feliz,457160,Neftali,Feliz,neftali,feliz,felizne01
2011,TEX,Elvis Andrus,452180,Elvis,Andrus,elvis,andrus,andruel01
2011,TEX,Tommy Hunter,442160,Tommy,Hunter,tommy,hunter,hunteto01
2011,TEX,Derek Holland,431810,Derek,Holland,derek,holland,hollade01
2011,TEX,Alexi Ogando,430150,Alexi,Ogando,alexi,ogando,ogandal01
2011,TEX,Matt Harrison,428830,Matt,Harrison,matt,harrison,harrima01
2011,TEX,Mitch Moreland,426000,Mitch,Moreland,mitch,moreland,morelmi01
2011,TEX,Pedro Strop,416000,Pedro,Strop,pedro,strop,stroppe01
2011,TEX,Omar Beltre,415000,Omar,Beltre,omar,beltre,beltrom01
2011,TEX,Mason Tobin,414000,Mason,Tobin,mason,tobin,tobinma01
2012,TEX,Michael Young,16174974,Michael,Young,michael,young,youngmi01
2012,TEX,Josh Hamilton,15250000,Josh,Hamilton,josh,hamilton,hamiljo01
2012,TEX,Adrian Beltre,15000000,Adrian,Beltre,adrian,beltre,beltrad01
2012,TEX,Mike Napoli,9400000,Mike,Napoli,mike,napoli,napolmi01
2012,TEX,Ian Kinsler,7200000,Ian,Kinsler,ian,kinsler,kinslia01
2012,TEX,Joe Nathan,7000000,Joe,Nathan,joe,nathan,nathajo01
2012,TEX,Scott Feldman,6500000,Scott,Feldman,scott,feldman,feldmsc01
2012,TEX,Nelson Cruz,6250000,Nelson,Cruz,nelson,cruz,cruzne01
2012,TEX,Yu Darvish,5500000,Yu,Darvish,yu,darvish,darviyu01
2012,TEX,Mike Adams,4400000,Mike,Adams,mike,adams,adamsmi01
2012,TEX,Colby Lewis,4000000,Colby,Lewis,colby,lewis,lewisco01
2012,TEX,Koji Uehara,4000000,Koji,Uehara,koji,uehara,ueharko01
2012,TEX,David Murphy,3625000,David,Murphy,david,murphy,murphda01
2012,TEX,Yorvit Torrealba,3250000,Yorvit,Torrealba,yorvit,torrealba,torreyo01
2012,TEX,Matt Harrison,2950000,Matt,Harrison,matt,harrison,harrima01
2012,TEX,Elvis Andrus,2625000,Elvis,Andrus,elvis,andrus,andruel01
2012,TEX,Mark Lowe,1700000,Mark,Lowe,mark,lowe,lowema01
2012,TEX,Derek Holland,1000000,Derek,Holland,derek,holland,hollade01
2012,TEX,Yoshinori Tateyama,1000000,Yoshinori,Tateyama,yoshinori,tateyama,tateyyo01
2012,TEX,Alberto Gonzalez,750000,Alberto,Gonzalez,alberto,gonzalez,gonzaal01
2012,TEX,Neftali Feliz,502000,Neftali,Feliz,neftali,feliz,felizne01
2012,TEX,Alexi Ogando,497600,Alexi,Ogando,alexi,ogando,ogandal01
2012,TEX,Mitch Moreland,491100,Mitch,Moreland,mitch,moreland,morelmi01
2012,TEX,Craig Gentry,484300,Craig,Gentry,craig,gentry,gentrcr01
2012,TEX,Brandon Snyder,481000,Brandon,Snyder,brandon,snyder,snydebr01
2012,TEX,Robbie Ross,480000,Robbie,Ross,robbie,ross,rossro01
2013,TEX,Adrian Beltre,16000000,Adrian,Beltre,adrian,beltre,beltrad01
2013,TEX,Ian Kinsler,13000000,Ian,Kinsler,ian,kinsler,kinslia01
2013,TEX,Nelson Cruz,10250000,Nelson,Cruz,nelson,cruz,cruzne01
2013,TEX,Lance Berkman,10000000,Lance,Berkman,lance,berkman,berkmla01
2013,TEX,Yu Darvish,9500000,Yu,Darvish,yu,darvish,darviyu01
2013,TEX,Joe Nathan,8000000,Joe,Nathan,joe,nathan,nathajo01
2013,TEX,A. J. Pierzynski,7500000,A. J.,Pierzynski,aj,pierzynski,pierzaj01
2013,TEX,David Murphy,5775000,David,Murphy,david,murphy,murphda01
2013,TEX,Matt Harrison,5200000,Matt,Harrison,matt,harrison,harrima01
2013,TEX,Elvis Andrus,5050000,Elvis,Andrus,elvis,andrus,andruel01
2013,TEX,Derek Holland,3400000,Derek,Holland,derek,holland,hollade01
2013,TEX,Leonys Martin,3250000,Leonys,Martin,leonys,martin,martile01
2013,TEX,Neftali Feliz,2900000,Neftali,Feliz,neftali,feliz,felizne01
2013,TEX,Geovany Soto,2750000,Geovany,Soto,geovany,soto,sotoge01
2013,TEX,Joakim Soria,2000000,Joakim,Soria,joakim,soria,soriajo01
2013,TEX,Jason Frasor,1500000,Jason,Frasor,jason,frasor,frasoja01
2013,TEX,Alexi Ogando,506000,Alexi,Ogando,alexi,ogando,ogandal01
2013,TEX,Mitch Moreland,502700,Mitch,Moreland,mitch,moreland,morelmi01
2013,TEX,Craig Gentry,501000,Craig,Gentry,craig,gentry,gentrcr01
2013,TEX,Josh Lindblom,500100,Josh,Lindblom,josh,lindblom,lindbjo01
2013,TEX,Robbie Ross,497400,Robbie,Ross,robbie,ross,rossro01
2013,TEX,Julio Borbon,496000,Julio,Borbon,julio,borbon,borboju01
2013,TEX,Michael Kirkman,495800,Michael,Kirkman,michael,kirkman,kirkmmi01
2013,TEX,Tanner Scheppers,493600,Tanner,Scheppers,tanner,scheppers,schepta01
2013,TEX,Cory Burns,492000,Cory,Burns,cory,burns,burnsco01
2013,TEX,Martin Perez,492000,Martin,Perez,martin,perez,perezma01
